"docID","text","label"
1267927068630753280,"filters addictive prisma rainbow rakugac dude back doodle ray ban",0
1267925756757323776,"wmp appealing information dashcam footage year motorcyclist died sheldon officers wer",0
1267995231598850048,"heart breaks women",0
1267594991200862208,"add perfect pop color dessert table",0
1267983095199866880,"clearance reduce capacity clearance raise prices business review letters impact price gouging",0
1268003962180886528,"prison wagon minutes union square south side nycprotests nyccurfew nycscanner nycscanerduty",1
1267299221293748224,"address countrythe fakepresident play lion wizard oz",1
1267305158574321664,"ope blacklivesmatter defundmpd",1
1267590656354025472,"unicorn chicken heels",0
1267595297506709504,"zfreeze black people represented rainbow represent colours colours mea",0
1267504181440655360,"fr unicorn fr giraffe",0
1266536567683854336,"revolution televised icantbreathe sayhisname georgefloyd cnn omarjimenez gilscottheron",1
1267844717808517120,"zombie apocalypse car decal ppl",0
1267302007930359808,"world watching laughing bunkerboy",1
1266536385995059200,"people cnn side misguided",1
1267594964831055872,"rose garden trump calls ally peaceful protesters moment white",0
1267984887954288640,"cio thinking datacenter covid crisis changed thinking running datacenter",0
1267952087058571264,"bought black today zombie kitchen nashville tn",0
1267611266496987136,"unicornbeacon entropy beacon speedy silver cat leaped laying coyote yelp yelp",0
1267851944451866624,"tube alright schedule zombie apocalypse july followe",0
1267979705124298752,"smb hill rosen cute stor",0
1267927563634192384,"stream team epsilonniner streaming tom clancys rainbow siege",0
1267986507303813120,"care home covid outbreaks declared bc today remaining entire province htt",0
1267990792645177344,"domestic covid status update june total acquired locally seoul incheon gyeonggi",0
1267939909932929024,"noah kathy juniors children fit zombie au horrible wanna juniors",0
1267490468994007040,"seungyouns album supposed marchapril delayed album satisfy",0
1267985836772999168,"taiwan designated testing covid facilities conduct tests day results ava",0
1267985995246395392,"executive webinar indonesia australia comprehensive economic partnership iacepa amidst covid hosted amba",0
1267975038914818048,"id zombie founding fathers invading white house",0
1267304980421246976,"hows upgrade swifties blacklivesmatter",1
1266536501493534720,"clear riots cnn ironic true patriot support",1
1266537306233745408,"attacking cnn building wearing maga hats ya coverage bit",1
1267831537950756864,"frost king monkey unicorn",0
1267984532872892416,"visualizing layoffs prominent startups triggered covid todays snapshot shows tech names bee",0
1267989491412865024,"exo royal exo rap exo radiant exo rainbow",0
1267303931237019648,"glsen recognize organizational purpose fulfilled undoing systemic racism white suprem",1
1267902915089297408,"noah kathy juniors children fit zombie au horrible wanna",0
1267886206265823232,"soul innistrad creature avatar mythic rare mana deathtouch return target creature ca",0
1267657507905953792,"indiafightscorona coronawarriors cisf fire wing personnel fstpp farakka murshidabad west bengal carried saniti",0
1267917566653202432,"daughter accidentally traded unicorn asked back",0
1267993621409775616,"hurts heart ways gotv covid georgeflyod",0
1268004444253433856,"cries filled streets demanded justice blm blacklivesmattter blacklivesmatternyc blmprotest",1
1267306773297455104,"time draft dodging cadetbonespurs bunkerboy cowards wouldve put",1
1267488223917486080,"hamstr sending virtual grapes lucozade",0
1267303835548004352,"participate protests sign petitions donate call email te",1
1267306391137595392,"happening bunker maga night kfc diet coke chocolate cake scoops va",1
1267281609172094976,"easy top day wanted play fast played deck good",0
1267983832415903744,"stay safe safe wearing masks social distancing works study covid",0
1266536963256926208,"cnn crew released custody arrest live tv reporting george floyd protests minneapolis",1
1267699822858887168,"wtf unicorn riot",0
1267988947189346304,"clean search rt replies exo exo rainbow exo exo talent exo art exo vocals exo suho exo lay exo",0
1267619627280076800,"ive utilise art designing exclusive pins featuring swo",0
1267456866629701632,"scared future sons scared husband brothers nephews uncles father grandfathers",0
1267434982814998528,"abrew bant grandeur lock modern mtg mtgo muchabrew",0
1266536608431562752,"arent protests theyre riots care death floyd theyre thugs",1
1267648714279202816,"partnering neighbor fund food drive due covid",0
1267642351566061568,"kudos sane honest person tweet wackos",0
1267302472302817280,"trump engaged looting country long voters",1
1267558112237514752,"heard violence coworker boss lack traini",0
1267872171080257536,"nun needing choosing completely di",0
1267301621010137088,"bunkerboy trending leader hiding tweeting addressing nation remember ho",1
1267294617549983744,"antifa communists taking part riots instigating violence theyre supported elites",1
1267547423175516160,"thinking",0
1267986100246675456,"seeks volunteers operate covid testing site volunteer training start",0
1267473125492563968,"episode iot unicorn podcast msftadvocate",0
1267914503989141504,"im hoping military refuse war citizens",0
1267487006415704064,"",0
1268016276540207104,"friendly reminder begin pridemonth today blacklivesmatter stonewallwasariot protests",1
1267953956682072064,"yknow rainbow gay flag umbrella flag lgbt nhs thing",0
1267304502249566208,"throw bucket hot diarrhea officers blacklivesmatter",1
1267308434971648000,"fox live streaming protest downtown appleton people commenting run release dogs",1
1267991621024399360,"popular demand jyotish live facebook event continues jobs career decoding career graph economy",0
1267921528034902016,"earliest memories watching patchwork quilt episode readingrainbow bc mo",0
1267987965877288960,"mi iphone sabe caundo pongo stan debe seguir seventeen seungcheol leader soonyoung radiant minghao gorgeou",0
1267976134169432064,"moots vieron hoshi radiant hoshi rainbow hoshi red hair soonyoung radiant soonyoung rainbow soonyoung red hair",0
1267598461530226688,"girl finna loot rainbow navy",0
1267304945612582912,"received email alert google august video report black lives matter tokyo suddenly",1
1267307753984278528,"breaking whitehouse adopt strategy reserved trick treaters religious callers turn lights",1
1267999522195755008,"rainbow backround pppgay rights",0
1267977112679579648,"military glory attractive rainbow rises showers blood serpents eye",0
1267601805594300416,"extremely beautiful moment todays protest rainbow shone cherry groces house home raide",0
1267911271237771264,"uk charities donate involved support blacklivesmattter",0
1267656754701070336,"feels special selfless work society appreciated understand",0
1267457522480214016,"america burning main concern elected",0
1267968280775593984,"bray rainbow perfect good luck",0
1268017346796498944,"share stay aware blackouttuesday blacklivesmatter georgefloyd bury seeds love",1
1267954118745665536,"zombie apocalypse happening october onmybingocard",0
1267993715047649280,"soonyoung radiant soonyoung rainbow hoshi gorgeous hoshi generous seungkwan great vocal seungkwan galaxy seungkwan cute",0
1267503661506314240,"narnia real place ride unicorn morning",0
1267402333400465408,"mine cats fruity rhino unicorn gator wolf ugly squirrel im waiting yeet",0
1267655909565743104,"widespread immune response happening immune cells activated lot chemicals rele",0
1266537085051248640,"seat cnn table god cover shes running reporting detailed info",1
1267916222001229824,"punch literally ended wouldve ha",0
1267994801787543552,"bet zombie apocalypse dow higher",0
1267304170450812928,"difference views difference morality wrong disagr",1
1267821519180161024,"double patrolling park today zombie squirrel gang checked zshq",0
1267742120644718592,"picture captioned unicorn boyfriends remeber",0
1267997965882404864,"offer extended",0
1268009844281274368,"batmanhere spiderman spider man spotted manhattan bridge usaonfire nycprotests usariots seattle",1
1267934323367346176,"book free clicking",0
1267743383021371392,"pride unicorn base free stuff credit decorate hoodie",0
1267525727597010944,"wallyworld pushed zombie alligators swamp prepare invasion",0
1267308131433865216,"speak american people make platform",1
1267554570135273472,"people black spray paint lying time vandalize buildings ive pink",0
1267957152448221184,"kyle speaking mother im lot friends challenge fami",0
1267299327669448704,"years told citizens armed defend families lives businesses dont guns defend fr",1
1267845239974146048,"guys interaction days im busy dealing paper works city",0
1267304944689917952,"appalling surprising police state supporters advantage global pandemi",1
1266536827818774528,"pure planned protest make cnn partial guarantee fire set building",1
1267435638909001728,"author study thelma unicorn aaron blabey questions",0
1267987157932822528,"covid crisis food systems communiqu international panel experts sustainable foodsystem",0
